I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcuda.so locally
I tensorflow/stream_executor/dso_loader.cc:108] successfully opened CUDA library libcurand.so locally
INFO:tensorflow:PS hosts are: ['master:2200']
INFO:tensorflow:Worker hosts are: ['master:2201', 'master:2202', 'master:2203', 'master:2204', 'node001:2205', 'node001:2206', 'node001:2207', 'node001:2208', 'node002:2209', 'node002:2210', 'node002:2211', 'node002:2212', 'node003:2213', 'node003:2214', 'node003:2215', 'node003:2216']
E tensorflow/stream_executor/cuda/cuda_driver.cc:491] failed call to cuInit: CUDA_ERROR_NO_DEVICE
I tensorflow/core/kernels/logging_ops.cc:79] Node 14 dequeues token: [402]
I tensorflow/core/kernels/logging_ops.cc:79] Node 13 dequeues token: [402]
I tensorflow/core/kernels/logging_ops.cc:79] Node 7 dequeues token: [402]
I tensorflow/core/kernels/logging_ops.cc:79] Node 3 dequeues token: [402]
I tensorflow/core/kernels/logging_ops.cc:79] Node 2 dequeues token: [402]
I tensorflow/core/kernels/logging_ops.cc:79] Node 1 dequeues token: [402]
I tensorflow/core/kernels/logging_ops.cc:79] Node 0 dequeues token: [402]
I tensorflow/core/kernels/logging_ops.cc:79] Node 9 dequeues token: [402]
I tensorflow/core/kernels/logging_ops.cc:79] Node 12 dequeues token: [402]
I tensorflow/core/kernels/logging_ops.cc:79] Node 6 dequeues token: [402]
I tensorflow/core/kernels/logging_ops.cc:79] Node 15 dequeues token: [402]
I tensorflow/core/kernels/logging_ops.cc:79] Node 11 dequeues token: [402]
I tensorflow/core/kernels/logging_ops.cc:79] Node 5 dequeues token: [402]
I tensorflow/core/kernels/logging_ops.cc:79] Node 4 dequeues token: [402]
I tensorflow/core/kernels/logging_ops.cc:79] Node 10 dequeues token: [402]
I tensorflow/core/kernels/logging_ops.cc:79] Node 8 dequeues token: [402]
I tensorflow/core/kernels/logging_ops.cc:79] ~~~~~ daniter~~~ GLobalstep:[403][-0.0034620622 0.0011163406...]
I tensorflow/core/kernels/logging_ops.cc:79] Node 6 dequeues token: [403]
I tensorflow/core/kernels/logging_ops.cc:79] Node 9 dequeues token: [403]
I tensorflow/core/kernels/logging_ops.cc:79] Node 12 dequeues token: [403]
I tensorflow/core/kernels/logging_ops.cc:79] Node 0 dequeues token: [403]
I tensorflow/core/kernels/logging_ops.cc:79] Node 3 dequeues token: [403]
I tensorflow/core/kernels/logging_ops.cc:79] Node 7 dequeues token: [403]
I tensorflow/core/kernels/logging_ops.cc:79] Node 14 dequeues token: [403]
I tensorflow/core/kernels/logging_ops.cc:79] Node 2 dequeues token: [403]
I tensorflow/core/kernels/logging_ops.cc:79] Node 1 dequeues token: [403]
I tensorflow/core/kernels/logging_ops.cc:79] Node 13 dequeues token: [403]
I tensorflow/core/kernels/logging_ops.cc:79] Node 15 dequeues token: [403]
I tensorflow/core/kernels/logging_ops.cc:79] Node 4 dequeues token: [403]
I tensorflow/core/kernels/logging_ops.cc:79] Node 10 dequeues token: [403]
I tensorflow/core/kernels/logging_ops.cc:79] Node 5 dequeues token: [403]
I tensorflow/core/kernels/logging_ops.cc:79] Node 11 dequeues token: [403]
I tensorflow/core/kernels/logging_ops.cc:79] Node 8 dequeues token: [403]
I tensorflow/core/kernels/logging_ops.cc:79] ~~~~~ daniter~~~ GLobalstep:[404][-0.0068530147 -0.00044598815...]
I tensorflow/core/kernels/logging_ops.cc:79] Node 0 dequeues token: [404]
I tensorflow/core/kernels/logging_ops.cc:79] Node 1 dequeues token: [404]
I tensorflow/core/kernels/logging_ops.cc:79] Node 13 dequeues token: [404]
I tensorflow/core/kernels/logging_ops.cc:79] Node 14 dequeues token: [404]
I tensorflow/core/kernels/logging_ops.cc:79] Node 7 dequeues token: [404]
I tensorflow/core/kernels/logging_ops.cc:79] Node 3 dequeues token: [404]
I tensorflow/core/kernels/logging_ops.cc:79] Node 2 dequeues token: [404]
I tensorflow/core/kernels/logging_ops.cc:79] Node 9 dequeues token: [404]
I tensorflow/core/kernels/logging_ops.cc:79] Node 6 dequeues token: [404]
I tensorflow/core/kernels/logging_ops.cc:79] Node 12 dequeues token: [404]
I tensorflow/core/kernels/logging_ops.cc:79] Node 15 dequeues token: [404]
I tensorflow/core/kernels/logging_ops.cc:79] Node 4 dequeues token: [404]
I tensorflow/core/kernels/logging_ops.cc:79] Node 5 dequeues token: [404]
I tensorflow/core/kernels/logging_ops.cc:79] Node 11 dequeues token: [404]
I tensorflow/core/kernels/logging_ops.cc:79] Node 8 dequeues token: [404]
I tensorflow/core/kernels/logging_ops.cc:79] Node 10 dequeues token: [404]
I tensorflow/core/kernels/logging_ops.cc:79] ~~~~~ daniter~~~ GLobalstep:[405][-0.0020587684 0.0014522552...]
I tensorflow/core/kernels/logging_ops.cc:79] Node 11 dequeues token: [405]
I tensorflow/core/kernels/logging_ops.cc:79] Node 4 dequeues token: [405]
I tensorflow/core/kernels/logging_ops.cc:79] Node 5 dequeues token: [405]
I tensorflow/core/kernels/logging_ops.cc:79] Node 15 dequeues token: [405]
I tensorflow/core/kernels/logging_ops.cc:79] Node 12 dequeues token: [405]
I tensorflow/core/kernels/logging_ops.cc:79] Node 3 dequeues token: [405]
I tensorflow/core/kernels/logging_ops.cc:79] Node 9 dequeues token: [405]
I tensorflow/core/kernels/logging_ops.cc:79] Node 2 dequeues token: [405]
I tensorflow/core/kernels/logging_ops.cc:79] Node 6 dequeues token: [405]
I tensorflow/core/kernels/logging_ops.cc:79] Node 7 dequeues token: [405]
I tensorflow/core/kernels/logging_ops.cc:79] Node 13 dequeues token: [405]
I tensorflow/core/kernels/logging_ops.cc:79] Node 14 dequeues token: [405]
I tensorflow/core/kernels/logging_ops.cc:79] Node 1 dequeues token: [405]
I tensorflow/core/kernels/logging_ops.cc:79] Node 0 dequeues token: [405]
I tensorflow/core/kernels/logging_ops.cc:79] Node 10 dequeues token: [405]
I tensorflow/core/kernels/logging_ops.cc:79] Node 8 dequeues token: [405]
I tensorflow/core/kernels/logging_ops.cc:79] ~~~~~ daniter~~~ GLobalstep:[406][-0.0013847254 -0.0016456611...]
